Waypoint(Transform(Location(x=235.159760, y=55.482361, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=233.159760, y=55.482605, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=231.159760, y=55.482849, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=229.159760, y=55.483093, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=227.159760, y=55.483337, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=225.159760, y=55.483582, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=223.159760, y=55.483826, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=221.159760, y=55.484066, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=219.159760, y=55.484310, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=217.159760, y=55.484554, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=215.159760, y=55.484798, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=213.159760, y=55.485043, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=211.159760, y=55.485287, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=209.159760, y=55.485531, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=207.159760, y=55.485775, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=205.159760, y=55.486015, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=203.159760, y=55.486259, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=201.159760, y=55.486504, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=199.159760, y=55.486748, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=197.159760, y=55.486992, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=195.159760, y=55.487236, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
Waypoint(Transform(Location(x=193.159760, y=55.487480, z=0.000000), Rotation(pitch=360.000000, yaw=179.993011, roll=0.000000)))
