Start Waypoint: Waypoint(Transform(Location(x=-55.049988, y=0.599630, z=0.000000), Rotation(pitch=360.000000, yaw=0.294617, roll=0.000000)))
End Waypoint: Waypoint(Transform(Location(x=-5.532081, y=-79.032463, z=0.000000), Rotation(pitch=360.000000, yaw=91.413544, roll=0.000000)))
Route Waypoints: 
Waypoint(Transform(Location(x=-55.058819, y=0.599585, z=0.000000), Rotation(pitch=360.000000, yaw=0.294617, roll=0.000000)))
Waypoint(Transform(Location(x=-53.058846, y=0.609869, z=0.000000), Rotation(pitch=360.000000, yaw=0.294617, roll=0.000000)))
Waypoint(Transform(Location(x=-51.058872, y=0.620152, z=0.000000), Rotation(pitch=360.000000, yaw=0.294617, roll=0.000000)))
Waypoint(Transform(Location(x=-49.058899, y=0.630436, z=0.000000), Rotation(pitch=360.000000, yaw=0.294617, roll=0.000000)))
Waypoint(Transform(Location(x=-47.058926, y=0.640720, z=0.000000), Rotation(pitch=360.000000, yaw=0.294617, roll=0.000000)))
Waypoint(Transform(Location(x=-43.368973, y=0.659693, z=0.000000), Rotation(pitch=360.000000, yaw=0.294617, roll=0.000000)))
Waypoint(Transform(Location(x=-43.368973, y=0.659693, z=0.000000), Rotation(pitch=360.000000, yaw=0.294617, roll=0.000000)))
Waypoint(Transform(Location(x=-42.368988, y=0.664835, z=0.000000), Rotation(pitch=360.000000, yaw=0.294617, roll=0.000000)))
Waypoint(Transform(Location(x=-41.368999, y=0.669977, z=0.000000), Rotation(pitch=360.000000, yaw=0.294617, roll=0.000000)))
Waypoint(Transform(Location(x=-41.368999, y=0.669977, z=0.000000), Rotation(pitch=360.000000, yaw=0.294617, roll=0.000000)))
Waypoint(Transform(Location(x=-39.457340, y=0.725614, z=0.000000), Rotation(pitch=360.000000, yaw=3.153473, roll=0.000000)))
Waypoint(Transform(Location(x=-37.554588, y=0.880027, z=0.000000), Rotation(pitch=360.000000, yaw=6.125610, roll=0.000000)))
Waypoint(Transform(Location(x=-35.662403, y=1.132892, z=0.000000), Rotation(pitch=360.000000, yaw=9.097748, roll=0.000000)))
Waypoint(Transform(Location(x=-33.785873, y=1.483526, z=0.000000), Rotation(pitch=360.000000, yaw=12.069870, roll=0.000000)))
Waypoint(Transform(Location(x=-31.930048, y=1.930985, z=0.000000), Rotation(pitch=360.000000, yaw=15.042023, roll=0.000000)))
Waypoint(Transform(Location(x=-30.099922, y=2.474072, z=0.000000), Rotation(pitch=360.000000, yaw=18.014145, roll=0.000000)))
Waypoint(Transform(Location(x=-28.455614, y=3.128350, z=0.000000), Rotation(pitch=360.000000, yaw=25.511703, roll=0.000000)))
Waypoint(Transform(Location(x=-26.915751, y=3.993170, z=0.000000), Rotation(pitch=360.000000, yaw=33.127289, roll=0.000000)))
Waypoint(Transform(Location(x=-25.504086, y=5.054433, z=0.000000), Rotation(pitch=360.000000, yaw=40.742889, roll=0.000000)))
Waypoint(Transform(Location(x=-24.245510, y=6.293419, z=0.000000), Rotation(pitch=360.000000, yaw=48.358475, roll=0.000000)))
Waypoint(Transform(Location(x=-23.162237, y=7.688269, z=0.000000), Rotation(pitch=360.000000, yaw=55.974083, roll=0.000000)))
Waypoint(Transform(Location(x=-22.241901, y=9.259434, z=0.000000), Rotation(pitch=360.000000, yaw=61.804893, roll=0.000000)))
Waypoint(Transform(Location(x=-21.252131, y=11.105731, z=0.000000), Rotation(pitch=360.000000, yaw=61.805069, roll=0.000000)))
Waypoint(Transform(Location(x=-21.252131, y=11.105731, z=0.000000), Rotation(pitch=360.000000, yaw=61.805069, roll=0.000000)))
Waypoint(Transform(Location(x=-20.138718, y=12.963923, z=0.000000), Rotation(pitch=0.000000, yaw=56.335625, roll=0.000000)))
Waypoint(Transform(Location(x=-20.138718, y=12.963923, z=0.000000), Rotation(pitch=0.000000, yaw=56.335625, roll=0.000000)))
Waypoint(Transform(Location(x=-18.548508, y=15.074146, z=0.000000), Rotation(pitch=0.000000, yaw=49.662918, roll=0.000000)))
Waypoint(Transform(Location(x=-18.548508, y=15.074146, z=0.000000), Rotation(pitch=0.000000, yaw=49.662918, roll=0.000000)))
Waypoint(Transform(Location(x=-17.088158, y=16.640755, z=0.000000), Rotation(pitch=0.000000, yaw=45.000000, roll=0.000000)))
Waypoint(Transform(Location(x=-15.572944, y=18.099571, z=0.000000), Rotation(pitch=0.000000, yaw=41.603310, roll=0.000000)))
Waypoint(Transform(Location(x=-13.886343, y=19.458958, z=0.000000), Rotation(pitch=0.000000, yaw=36.133873, roll=0.000000)))
Waypoint(Transform(Location(x=-12.077852, y=20.651402, z=0.000000), Rotation(pitch=0.000000, yaw=30.664440, roll=0.000000)))
Waypoint(Transform(Location(x=-10.163937, y=21.666039, z=0.000000), Rotation(pitch=0.000000, yaw=25.195004, roll=0.000000)))
Waypoint(Transform(Location(x=-8.162025, y=22.493631, z=0.000000), Rotation(pitch=0.000000, yaw=19.725571, roll=0.000000)))
Waypoint(Transform(Location(x=-6.090347, y=23.126648, z=0.000000), Rotation(pitch=0.000000, yaw=14.256137, roll=0.000000)))
Waypoint(Transform(Location(x=-2.181200, y=23.763405, z=0.000000), Rotation(pitch=0.000000, yaw=4.247072, roll=0.000000)))
Waypoint(Transform(Location(x=-1.006769, y=20.319054, z=0.000000), Rotation(pitch=0.000000, yaw=1.512355, roll=0.000000)))
Waypoint(Transform(Location(x=-1.006769, y=20.319054, z=0.000000), Rotation(pitch=0.000000, yaw=1.512355, roll=0.000000)))
Waypoint(Transform(Location(x=-0.500000, y=20.325743, z=0.000000), Rotation(pitch=0.000000, yaw=-0.000000, roll=0.000000)))
Waypoint(Transform(Location(x=-0.380859, y=20.325375, z=0.000000), Rotation(pitch=0.000000, yaw=-0.355513, roll=0.000000)))
Waypoint(Transform(Location(x=1.448726, y=20.226599, z=0.000000), Rotation(pitch=0.000000, yaw=-5.824947, roll=0.000000)))
Waypoint(Transform(Location(x=3.260567, y=19.953888, z=0.000000), Rotation(pitch=0.000000, yaw=-11.294381, roll=0.000000)))
Waypoint(Transform(Location(x=5.038166, y=19.509726, z=0.000000), Rotation(pitch=0.000000, yaw=-16.763815, roll=0.000000)))
Waypoint(Transform(Location(x=6.765337, y=18.898151, z=0.000000), Rotation(pitch=0.000000, yaw=-22.233250, roll=0.000000)))
Waypoint(Transform(Location(x=8.426352, y=18.124737, z=0.000000), Rotation(pitch=0.000000, yaw=-27.702684, roll=0.000000)))
Waypoint(Transform(Location(x=10.006085, y=17.196527, z=0.000000), Rotation(pitch=0.000000, yaw=-33.172119, roll=0.000000)))
Waypoint(Transform(Location(x=12.904475, y=14.872517, z=0.000000), Rotation(pitch=0.000000, yaw=-44.275070, roll=0.000000)))
Waypoint(Transform(Location(x=12.904475, y=14.872517, z=0.000000), Rotation(pitch=0.000000, yaw=-44.275070, roll=0.000000)))
Waypoint(Transform(Location(x=15.416033, y=12.149132, z=0.000000), Rotation(pitch=0.000000, yaw=-52.197945, roll=0.000000)))
