x,y
235.159760,55.482361
233.159760,55.482605
231.159760,55.482849
229.159760,55.483093
227.159760,55.483337
225.159760,55.483582
223.159760,55.483826
221.159760,55.484066
219.159760,55.484310
217.159760,55.484554
215.159760,55.484798
213.159760,55.485043
211.159760,55.485287
209.159760,55.485531
207.159760,55.485775
205.159760,55.486015
203.159760,55.486259
201.159760,55.486504
199.159760,55.486748
197.159760,55.486992
195.159760,55.487236
193.159760,55.487480
191.159760,55.487724
189.159760,55.487968
187.159760,55.488209
185.159760,55.488453
183.159760,55.488697
181.159760,55.488941
179.159760,55.489185
177.159760,55.489429
175.159760,55.489674
173.159760,55.489918
171.159760,55.490162
167.169739,55.490650
167.169754,55.490646
165.169754,55.490891
163.537964,55.373806
162.039993,54.928444
160.673126,54.170898
159.525681,53.154011
158.681870,51.919014
158.170105,50.513565
158.020432,48.975445
158.023804,46.202396
158.023804,46.202396
158.026230,44.202400
158.028671,42.202400
158.031097,40.202400
158.033524,38.202400
158.035950,36.202404
158.038391,34.202404
158.040817,32.202408
158.043243,30.202408
158.045670,28.202408
158.048111,26.202412
158.050537,24.202412
158.052963,22.202414
158.055389,20.202415
158.057816,18.202415
158.060257,16.202417
158.062683,14.202419
158.066544,11.022422
158.066544,11.022422
158.068985,9.022423
158.081345,7.139328
158.356750,5.673711
158.989426,4.323300
159.920883,3.197705
161.085770,2.415886
162.428040,2.007821
164.130997,1.956516
168.079773,1.956937
168.079773,1.956937
170.079773,1.957151
172.079773,1.957364
174.079773,1.957578
176.079773,1.957791
178.079773,1.958005
180.079773,1.958218
182.079773,1.958432
184.079773,1.958645
186.079773,1.958858
188.079773,1.959072
190.079773,1.959285
192.079773,1.959499
194.079773,1.959712
196.079773,1.959926
198.079773,1.960139
200.079773,1.960353
202.079773,1.960566
204.079773,1.960780
206.079773,1.960993
208.079773,1.961207
210.079773,1.961420
212.079773,1.961633
214.079773,1.961847
216.079773,1.962060
218.079773,1.962274
220.079773,1.962487
222.079773,1.962701
224.079773,1.962914
226.079773,1.963128
228.079788,1.963341
230.079788,1.963555
232.079788,1.963768
234.079788,1.963982
236.079788,1.964195
238.079788,1.964408
240.079788,1.964622
242.079788,1.964835
244.079788,1.965049
246.079788,1.965262
248.079788,1.965476
250.079788,1.965689
252.079788,1.965903
254.079788,1.966116
256.079773,1.966330
258.079773,1.966543
260.079773,1.966756
262.079773,1.966970
